"GridRef1km","nSpecies","WBID","lake_data_Lake.area..ha.","lake_data_Lake.altitude..m.","lake_data_Mean.Depth..m.","lake_data_Volume..m3.","lake_data_Perimeter..km.","lake_data_WFD_River_Basin_District","landscape_2km_Mean.slope..degrees.","landscape_2km_Lake.area..","landscape_2km_Pond.area..","landscape_2km_Rivers...length..m._per_ha","landscape_2km_Canals...length..m._per_ha","landscape_2km_Obstacles...Count_per_ha","landscape_2km_Lakes...Perimeter..m._per_ha","landscape_2km_Ponds...Perimeter..m._per_ha","landscape_2km_Lakes...Count_per_ha","landscape_2km_Ponds...Count_per_ha","landscape_2km_LCM2007...Agricultural..","landscape_2km_LCM2007...Urban..","landscape_2km_Mean.Temperature..2000.2016..C.","landscape_2km_Mean.Annual.Rainfall..2000.2016..mm.","landscape_2km_Visits...Fishing","landscape_2km_Visits...Watersports","landscape_2km_Visits...All"
"HY2514",1,"1809",786.00785,1,3.2,25152251.2,19.499,"Scotland",2.69456516555505,10.0312369630427,0.080774685160317,24.8850114959093,0,0,10.4171512326973,1.34433796409674,0.00110558319513543,0.0066334991708126,49.1151977793199,0.757575757575758,8.68164324292296,90.1417462709656,0.173443930992154,0.201058090863209,0.014325894334458
"HY2617",6,"1753",981.0655,2,2.7,26488768.5,34.391,"Scotland",1.36291473153198,11.7521213600797,0.088819526331178,32.7382516970907,0,0,10.1200424644683,2.08786751729618,0.00399315459212778,0.00969766115231033,51.9952611082438,0.693238868296345,8.60056878401852,89.9030895839833,0.17639531487028,0.186598060480067,0.012793518766336
"HY2800",10,"1910",1.45245,27,3.73,54176.385,0.602,"Scotland",7.9660629214726,0.087572410263003,0.033556224740702,3.06038096822513,0,0,0.300928027500506,0.143476953945171,0.000523560209424084,0.000523560209424084,0,0,8.82079887390137,91.1290054321289,0.178823222197278,0.180316512065855,0.012759128707795
"HY2814",9,"1809",786.00785,1,3.2,25152251.2,19.499,"Scotland",2.69456516555505,10.0312369630427,0.080774685160317,24.8850114959093,0,0,10.4171512326973,1.34433796409674,0.00110558319513543,0.0066334991708126,49.1151977793199,0.757575757575758,8.68164324292296,90.1417462709656,0.173443930992154,0.201058090863209,0.014325894334458
"HY2913",2,"1809",786.00785,1,3.2,25152251.2,19.499,"Scotland",2.69456516555505,10.0312369630427,0.080774685160317,24.8850114959093,0,0,10.4171512326973,1.34433796409674,0.00110558319513543,0.0066334991708126,49.1151977793199,0.757575757575758,8.68164324292296,90.1417462709656,0.173443930992154,0.201058090863209,0.014325894334458
"HY2918",1,"1753",981.0655,2,2.7,26488768.5,34.391,"Scotland",1.36291473153198,11.7521213600797,0.088819526331178,32.7382516970907,0,0,10.1200424644683,2.08786751729618,0.00399315459212778,0.00969766115231033,51.9952611082438,0.693238868296345,8.60056878401852,89.9030895839833,0.17639531487028,0.186598060480067,0.012793518766336
"HY3013",7,"1809",786.00785,1,3.2,25152251.2,19.499,"Scotland",2.69456516555505,10.0312369630427,0.080774685160317,24.8850114959093,0,0,10.4171512326973,1.34433796409674,0.00110558319513543,0.0066334991708126,49.1151977793199,0.757575757575758,8.68164324292296,90.1417462709656,0.173443930992154,0.201058090863209,0.014325894334458
"HY3018",1,"1761",27.47795,7,0.76,208832.42,2.886,"Scotland",1.23353071594937,16.5313392233138,0.066696709783585,10.266283619364,0,0,6.22450177905968,0.539433109423595,0.00170357751277683,0.00283929585462805,52.9456604595448,0.537224581654506,8.44211578369141,88.0756378173828,0.198868225980329,0.133131062877197,0.013329275446224
"HY3425",17,"1701",1.64385,148,4.21,69206.085,0.594,"Scotland",4.23407898088122,0.585997837318635,0,9.66897474326866,0,0,0.935950449787913,0,0.000587889476778366,0,25.3165710121162,0.191309100847226,8.22965431213379,89.7402725219727,0.153751865029335,0.139872327446938,0.014186705462635
"HY3608",10,"1853",100.56485,15,1.3,1307343.05,5.523,"Scotland",4.4940467117387,0,0.081293269383816,14.7234178374528,0,0.000539665407447383,0,0.69160443901531,0,0.0032379924446843,23.1942283208375,0.229169613806762,8.65873718261719,95.4962310791016,0.156093914750621,0.193614436920875,0.011035387800238
